년도,월,지점 번호,지점명,월평균 기온,월평균 지면온도
2014,01,127,충주,-2.0741935483870964,-1.103225806451613
2014,02,127,충주,1.2964285714285715,1.9714285714285713
2014,03,127,충주,6.935483870967742,6.977419354838707
2014,04,127,충주,13.133333333333333,13.673333333333336
2014,05,127,충주,18.535483870967738,20.9
2014,06,127,충주,22.686666666666664,26.133333333333333
2014,07,127,충주,25.477419354838712,27.94193548387097
2014,08,127,충주,23.799999999999994,25.241935483870964
2014,09,127,충주,20.360000000000003,22.119999999999997
2014,10,127,충주,13.14516129032258,14.977419354838709
2014,11,127,충주,6.78,7.739999999999999
2014,12,127,충주,-3.6677419354838703,-0.7612903225806452
2015,01,127,충주,-1.6645161290322583,-0.39354838709677414
2015,02,127,충주,0.5750000000000002,2.0464285714285713
2015,03,127,충주,5.619354838709678,5.741935483870968
2015,04,127,충주,12.483333333333336,12.920000000000003
2015,05,127,충주,18.503225806451617,21.690322580645162
2015,06,127,충주,22.99666666666667,27.93333333333334
2015,07,127,충주,25.016129032258068,26.9483870967742
2015,08,127,충주,25.25483870967742,27.503225806451617
2015,09,127,충주,19.933333333333334,22.083333333333332
2015,10,127,충주,13.39032258064516,15.006451612903223
2015,11,127,충주,8.71,9.983333333333336
2015,12,127,충주,1.154838709677419,3.0516129032258066
2016,01,127,충주,-3.229032258064516,-0.7580645161290323
2016,02,127,충주,-0.12413793103448295,1.189655172413793
2016,03,127,충주,6.377419354838708,7.283870967741936
2016,04,127,충주,14.133333333333333,14.796666666666665
2016,05,127,충주,18.787096774193554,20.516129032258064
2016,06,127,충주,23.343333333333327,26.980000000000004
2016,07,127,충주,25.658064516129034,27.5741935483871
2016,08,127,충주,26.78064516129032,30.36774193548387
2016,09,127,충주,21.503333333333334,23.666666666666664
2016,10,127,충주,14.832258064516129,16.651612903225804
2016,11,127,충주,5.896666666666666,7.5233333333333325
2016,12,127,충주,0.713333333333333,2.4966666666666666
2017,01,127,충주,-2.470967741935484,0.10967741935483896
2017,02,127,충주,-0.22857142857142848,1.6392857142857142
2017,03,127,충주,5.487096774193549,6.512903225806451
2017,04,127,충주,13.499999999999996,14.386666666666667
2017,05,127,충주,18.654838709677417,22.43225806451613
2017,06,127,충주,22.433333333333337,27.93333333333333
2017,07,127,충주,26.25806451612903,27.767741935483865
2017,08,127,충주,25.14193548387097,27.035483870967745
2017,09,127,충주,19.643333333333327,21.35666666666667
2017,10,127,충주,14.31290322580645,16.190322580645162
2017,11,127,충주,4.3999999999999995,6.373333333333334
2017,12,127,충주,-2.790322580645162,-0.9451612903225807
2018,01,127,충주,-4.748387096774194,-1.4645161290322577
2018,02,127,충주,-2.467857142857144,-0.31785714285714306
2018,03,127,충주,7.490322580645162,8.506451612903225
